06-01-23_19-50-27-782 - Logging Started
19-55-57-343 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-00-340 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-03-334 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-06-333 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-09-328 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-12-337 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-15-346 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-18-335 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-21-334 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-24-341 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-27-344 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-30-331 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-33-327 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-36-329 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-39-327 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-42-336 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-45-333 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-48-338 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-51-326 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-54-326 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-56-57-342 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-00-342 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-03-338 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-06-332 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-09-330 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-12-333 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-15-333 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-18-337 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-21-339 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-24-336 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-27-330 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-30-346 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-33-331 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
19-57-36-346 - (STATS) -------- AIs:[19] - WcBlocks:[131] - AiReq:[18] Targ:[18] Bloc:[0] Aim:[18] CCast:[0] RndCast[0] TopCast[0]
